,Compounds,CT-179_Resist_vs_Sens_logFC,AveExpr,t,P.Value,adj.P.Val,B,CT-179_mRCC,Group_num,Combination_Index
296,fluspirilene,-0.008818905,-0.01820626,-8.770183591,1.83E-18,3.37E-18,29.10624992,-0.004851094,514,4.28E-05
297,asymmetrical.dimethylarginine,-0.032154603,-0.000370638,-37.5975414,2.29E-305,2.43E-303,688.255371,-0.001326705,664,4.27E-05
298,acarbose,-0.009399863,0.00087035,-11.09244825,1.47E-28,3.33E-28,52.12503658,-0.004423254,534,4.16E-05
299,voxtalisib,-0.019642687,0.01665624,-16.56581712,1.75E-61,6.94E-61,127.5326285,-0.002101466,638,4.13E-05
300,edoxudine,-0.003824086,-0.018216386,-4.049295596,5.14E-05,6.71E-05,-1.125265956,-0.010573385,340,4.04E-05
301,L.citrulline,-0.003385414,0.002450809,-3.402071529,0.00066926,0.000818511,-3.535844361,-0.011933069,304,4.04E-05
302,trilostane,-0.006083237,0.005089193,-7.742577164,9.91E-15,1.67E-14,20.63327589,-0.006590556,459,4.01E-05
303,GDC.0980,-0.014758028,0.026815106,-8.549723959,1.27E-17,2.29E-17,27.19986428,-0.002661538,616,3.93E-05
304,triamcinolone.acetonide,-0.018008132,-0.009658975,-20.43408954,1.88E-92,1.14E-91,198.6318319,-0.002164924,636,3.90E-05
305,ganaxolone,-0.005958362,-0.010390485,-7.005760018,2.49E-12,3.98E-12,15.20571242,-0.006539261,461,3.90E-05
306,finasteride,-0.003454986,0.023271253,-2.234674123,0.025442859,0.029204345,-6.825300041,-0.011266368,320,3.89E-05
307,alvimopan,-0.013116593,0.010735221,-14.33122728,1.70E-46,5.30E-46,93.16754738,-0.002919812,601,3.83E-05
308,histamine,-0.004905056,-0.021171394,-5.172985684,2.31E-07,3.27E-07,4.053830417,-0.007659949,430,3.76E-05
309,JTC.801,-0.012876082,0.002874175,-13.54526525,9.90E-42,2.86E-41,82.25290224,-0.002892121,603,3.72E-05
310,mirodenafil,-0.00771321,-0.010438078,-8.722535962,2.80E-18,5.09E-18,28.69012603,-0.004734181,521,3.65E-05
311,pantoprazole,-0.008088599,-0.00915732,-10.54278162,5.82E-26,1.23E-25,46.19228413,-0.004512448,532,3.65E-05
312,gliquidone,-0.004037605,0.007037864,-3.887604398,0.00010136,0.000129824,-1.766702323,-0.008836629,392,3.57E-05
313,cefdinir,-0.006596331,0.002433186,-8.201998956,2.42E-16,4.26E-16,24.29135423,-0.005267746,501,3.47E-05
